Papel;Empresa;CNPJ;Setor de atuação;Subsetor de atuação;Segmento de atuação;Patrimônio líquido;Ativos;Ativo circulante;Dívida bruta;Disponibilidade;Dívida líquida;Valor de mercado;Valor de firma;Número total de papéis;Segmento de listagem;Free float;Cotação atual;Mínima 52 semanas;Máxima 52 semanas;Dividend Yield;Valorização
biom3;BIOMM S.A.;04.752.991/0001-10;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos;146482000;381976000;158514000;172425000;80945000;91480000;525932221;617412221;81287824;;40.93;6.47;5.40;14.33;-;-51.35
bkbr3;ZAMP S.A.;13.574.594/0001-96;Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares;1456994000;3994258000;998190000;1077977000;548661000;529316000;1517208513;2046524513;275355447;Novo Mercado;98.27;7.63;5.18;8.80;-;2.69
blau3;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos;1759860000;2440588000;1713234000;316155000;763533000;-447378000;4762909080;4315531080;179393939;Novo Mercado;16.63;26.59;21.62;36.58;3.20;-16.36
blut3;BLUE TECH SOLUTIONS E.Q.I. S;60.637.238/0001-54;Financeiro e Outros;Holdings Diversificadas;Holdings Diversificadas;57197000;189813000;67000;6748000;1000;6747000;14115600;20862600;5102814;;393.44;5.14;3.72;7.08;-;4.47
blut4;BLUE TECH SOLUTIONS E.Q.I. S;60.637.238/0001-54;Financeiro e Outros;Holdings Diversificadas;Holdings Diversificadas;57197000;189813000;67000;6748000;1000;6747000;14115600;20862600;5102814;;393.44;1.52;1.52;4.00;-;-24.00
bmeb3;BCO MERCANTIL DO BRASIL S.A.;17.184.037/0001-10;Financeiro e Outros;Intermediários Financeiros;Bancos;1283674000;14964569000;1948125000;-;1948125000;-;1059028276;1059028276;104831580;Nível 1;47.01;10.01;9.63;18.01;5.21;-12.50
bmeb4;BCO MERCANTIL DO BRASIL S.A.;17.184.037/0001-10;Financeiro e Outros;Intermediários Financeiros;Bancos;1283674000;14964569000;1948125000;-;1948125000;-;1059028276;1059028276;104831580;Nível 1;47.01;10.20;9.64;11.36;5.62;-0.78
bmgb4;BANCO BMG S.A.;61.186.680/0001-74;Financeiro e Outros;Intermediários Financeiros;Bancos;4072017000;40719133000;584440000;-;300446000;-;1306440601;1306440601;583232411;Nível 1;17.60;2.27;1.98;3.11;16.17;-19.50
bmin3;BCO MERCANTIL DE INVESTIMENTOS S.A.;34.169.557/0001-72;Financeiro e Outros;Intermediários Financeiros;Bancos;132406000;298093000;2907000;-;2907000;-;85566355;85566355;4825200;;8.47;18.50;18.50;23.00;-;-15.14
bmin4;BCO MERCANTIL DE INVESTIMENTOS S.A.;34.169.557/0001-72;Financeiro e Outros;Intermediários Financeiros;Bancos;132406000;298093000;2907000;-;2907000;-;85566355;85566355;4825200;;8.47;13.29;12.25;18.34;6.40;-20.13
